C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_08_157.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_08_157.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_08_157.jpg,0,0,0,4.089293E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_08_225.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_08_225.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_08_225.jpg,0,0,0,2.19372E-05
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_10_909.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_10_909.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_10_909.jpg,0,0,0,1.590035E-05
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_038.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_038.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_038.jpg,0,0,0,1.095452E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_163.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_163.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_163.jpg,0,0,0,2.669735E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_291.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_291.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_291.jpg,0,0,0,5.055717E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_425.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_425.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_425.jpg,0,0,0,2.127981E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_558.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_558.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_558.jpg,0,0,0,2.305035E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_627.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_627.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_627.jpg,0,0,0,2.213304E-06
C:\Users\A113-36\Desktop\DLA\IMG\center_2025_07_21_15_06_11_761.jpg,C:\Users\A113-36\Desktop\DLA\IMG\left_2025_07_21_15_06_11_761.jpg,C:\Users\A113-36\Desktop\DLA\IMG\right_2025_07_21_15_06_11_761.jpg,0,0,0,7.751268E-06
